,,,Term
,,,Annual 2019-2020
College Name,,EOPS Status,Student Count
Alameda Total,,,"10,554"
,EOPS and CARE participant,,23
,EOPS participant,,564
,Not an EOPS/CARE participant,,"9,967"
Allan Hancock Total,,,"19,756"
,EOPS and CARE participant,,99
,EOPS participant,,"1,352"
,Not an EOPS/CARE participant,,"18,305"
American River Total,,,"43,515"
,EOPS and CARE participant,,65
,EOPS participant,,"1,214"
,Not an EOPS/CARE participant,,"42,236"
Antelope Valley Total,,,"18,963"
,EOPS and CARE participant,,87
,EOPS participant,,640
,Not an EOPS/CARE participant,,"18,236"
Bakersfield Total,,,"37,420"
,EOPS and CARE participant,,128
,EOPS participant,,"2,142"
,Not an EOPS/CARE participant,,"35,150"
Barstow Total,,,"4,320"
,EOPS and CARE participant,,69
,EOPS participant,,507
,Not an EOPS/CARE participant,,"3,744"
Berkeley City Total,,,"10,803"
,EOPS and CARE participant,,10
,EOPS participant,,244
,Not an EOPS/CARE participant,,"10,549"
Butte Total,,,"14,171"
,EOPS and CARE participant,,43
,EOPS participant,,951
,Not an EOPS/CARE participant,,"13,177"
Cabrillo Total,,,"16,221"
,EOPS and CARE participant,,49
,EOPS participant,,435
,Not an EOPS/CARE participant,,"15,737"
Calbright College Total,,,467
,Not an EOPS/CARE participant,,467
Canada Total,,,"8,943"
,EOPS and CARE participant,,8
,EOPS participant,,347
,Not an EOPS/CARE participant,,"8,588"
Canyons Total,,,"33,616"
,EOPS and CARE participant,,25
,EOPS participant,,502
,Not an EOPS/CARE participant,,"33,089"
Cerritos Total,,,"31,567"
,EOPS and CARE participant,,67
,EOPS participant,,"1,053"
,Not an EOPS/CARE participant,,"30,447"
Cerro Coso Total,,,"8,490"
,EOPS and CARE participant,,23
,EOPS participant,,263
,Not an EOPS/CARE participant,,"8,204"
Chabot Hayward Total,,,"19,582"
,EOPS and CARE participant,,31
,EOPS participant,,433
,Not an EOPS/CARE participant,,"19,118"
Chaffey Total,,,"30,356"
,EOPS and CARE participant,,48
,EOPS participant,,"1,059"
,Not an EOPS/CARE participant,,"29,249"
Citrus Total,,,"19,742"
,EOPS and CARE participant,,33
,EOPS participant,,637
,Not an EOPS/CARE participant,,"19,072"
Clovis Total,,,"13,230"
,EOPS and CARE participant,,66
,EOPS participant,,415
,Not an EOPS/CARE participant,,"12,749"
Coalinga College Total,,,"6,039"
,EOPS and CARE participant,,13
,EOPS participant,,275
,Not an EOPS/CARE participant,,"5,751"
Coastline Total,,,"18,082"
,EOPS and CARE participant,,12
,EOPS participant,,395
,Not an EOPS/CARE participant,,"17,675"
Columbia Total,,,"3,990"
,EOPS and CARE participant,,17
