,,,Term
,,,Annual 2018-2019
College Name,,EOPS Status,Student Count
Alameda Total,,,"11,048"
,EOPS and CARE participant,,37
,EOPS participant,,638
,Not an EOPS/CARE participant,,"10,373"
Allan Hancock Total,,,"19,232"
,EOPS and CARE participant,,97
,EOPS participant,,"1,087"
,Not an EOPS/CARE participant,,"18,048"
American River Total,,,"45,075"
,EOPS and CARE participant,,64
,EOPS participant,,"1,183"
,Not an EOPS/CARE participant,,"43,828"
Antelope Valley Total,,,"18,992"
,EOPS and CARE participant,,102
,EOPS participant,,760
,Not an EOPS/CARE participant,,"18,130"
Bakersfield Total,,,"36,138"
,EOPS and CARE participant,,116
,EOPS participant,,"1,847"
,Not an EOPS/CARE participant,,"34,175"
Barstow Total,,,"4,552"
,EOPS and CARE participant,,72
,EOPS participant,,526
,Not an EOPS/CARE participant,,"3,954"
Berkeley City Total,,,"10,936"
,EOPS and CARE participant,,7
,EOPS participant,,262
,Not an EOPS/CARE participant,,"10,667"
Butte Total,,,"15,156"
,EOPS and CARE participant,,76
,EOPS participant,,"1,106"
,Not an EOPS/CARE participant,,"13,974"
Cabrillo Total,,,"16,543"
,EOPS and CARE participant,,46
,EOPS participant,,408
,Not an EOPS/CARE participant,,"16,089"
Canada Total,,,"9,471"
,EOPS and CARE participant,,18
,EOPS participant,,400
,Not an EOPS/CARE participant,,"9,053"
Canyons Total,,,"35,297"
,EOPS and CARE participant,,22
,EOPS participant,,507
,Not an EOPS/CARE participant,,"34,768"
Cerritos Total,,,"31,247"
,EOPS and CARE participant,,47
,EOPS participant,,"1,116"
,Not an EOPS/CARE participant,,"30,084"
Cerro Coso Total,,,"8,725"
,EOPS and CARE participant,,22
,EOPS participant,,376
,Not an EOPS/CARE participant,,"8,327"
Chabot Hayward Total,,,"19,730"
,EOPS and CARE participant,,33
,EOPS participant,,418
,Not an EOPS/CARE participant,,"19,279"
Chaffey Total,,,"30,783"
,EOPS and CARE participant,,46
,EOPS participant,,"1,072"
,Not an EOPS/CARE participant,,"29,665"
Citrus Total,,,"19,877"
,EOPS and CARE participant,,15
,EOPS participant,,727
,Not an EOPS/CARE participant,,"19,135"
Clovis Total,,,"12,298"
,EOPS and CARE participant,,69
,EOPS participant,,349
,Not an EOPS/CARE participant,,"11,880"
Coalinga College Total,,,"6,789"
,EOPS and CARE participant,,13
,EOPS participant,,241
,Not an EOPS/CARE participant,,"6,535"
Coastline Total,,,"18,488"
,EOPS and CARE participant,,9
,EOPS participant,,396
,Not an EOPS/CARE participant,,"18,083"
Columbia Total,,,"4,038"
,EOPS and CARE participant,,22
,EOPS participant,,318
,Not an EOPS/CARE participant,,"3,698"
Compton Total,,,"11,518"
,EOPS and CARE participant,,136
,EOPS participant,,736
,Not an EOPS/CARE participant,,"10,646"
Contra Costa Total,,,"11,132"
,EOPS and CARE participant,,36
,EOPS participant,,868
,Not an EOPS/CARE participant,,"10,228"
Copper Mountain College Total,,,"2,714"
,EOPS and CARE participant,,34
,EOPS participant,,144
,Not an EOPS/CARE participant,,"2,536"
Cosumnes River Total,,,"20,298"
,EOPS and CARE participant,,29
,EOPS participant,,845
,Not an EOPS/CARE participant,,"19,424"
Crafton Hills Total,,,"9,094"
,EOPS and CARE participant,,32
,EOPS participant,,459
,Not an EOPS/CARE participant,,"8,603"
Cuesta Total,,,"17,493"
,EOPS and CARE participant,,61
,EOPS participant,,281
,Not an EOPS/CARE participant,,"17,151"
