,,,Term
,,,Annual 2014-2015
College Name,,EOPS Status,Student Count
Alameda Total,,,"10,056"
,EOPS and CARE participant,,27
,EOPS participant,,537
,Not an EOPS/CARE participant,,"9,492"
Allan Hancock Total,,,"20,275"
,EOPS and CARE participant,,128
,EOPS participant,,552
,Not an EOPS/CARE participant,,"19,595"
American River Total,,,"42,417"
,EOPS and CARE participant,,113
,EOPS participant,,"1,020"
,Not an EOPS/CARE participant,,"41,284"
Antelope Valley Total,,,"19,067"
,EOPS and CARE participant,,78
,EOPS participant,,555
,Not an EOPS/CARE participant,,"18,434"
Bakersfield Total,,,"25,401"
,EOPS and CARE participant,,98
,EOPS participant,,766
,Not an EOPS/CARE participant,,"24,537"
Barstow Total,,,"4,947"
,EOPS and CARE participant,,83
,EOPS participant,,257
,Not an EOPS/CARE participant,,"4,607"
Berkeley City Total,,,"11,386"
,EOPS and CARE participant,,30
,EOPS participant,,274
,Not an EOPS/CARE participant,,"11,082"
Butte Total,,,"16,641"
,EOPS and CARE participant,,90
,EOPS participant,,"1,175"
,Not an EOPS/CARE participant,,"15,376"
Cabrillo Total,,,"17,943"
,EOPS and CARE participant,,52
,EOPS participant,,271
,Not an EOPS/CARE participant,,"17,620"
Canada Total,,,"10,300"
,EOPS and CARE participant,,24
,EOPS participant,,295
,Not an EOPS/CARE participant,,"9,981"
Canyons Total,,,"30,686"
,EOPS and CARE participant,,46
,EOPS participant,,478
,Not an EOPS/CARE participant,,"30,162"
Cerritos Total,,,"31,295"
,EOPS and CARE participant,,54
,EOPS participant,,838
,Not an EOPS/CARE participant,,"30,403"
Cerro Coso Total,,,"6,759"
,EOPS and CARE participant,,32
,EOPS participant,,254
,Not an EOPS/CARE participant,,"6,473"
Chabot Hayward Total,,,"19,005"
,EOPS and CARE participant,,33
,EOPS participant,,303
,Not an EOPS/CARE participant,,"18,669"
Chaffey Total,,,"26,251"
,EOPS and CARE participant,,79
,EOPS participant,,835
,Not an EOPS/CARE participant,,"25,337"
Citrus Total,,,"19,179"
,EOPS and CARE participant,,30
,EOPS participant,,575
,Not an EOPS/CARE participant,,"18,574"
Coalinga College Total,,,"3,918"
,EOPS and CARE participant,,21
,EOPS participant,,186
,Not an EOPS/CARE participant,,"3,711"
Coastline Total,,,"16,989"
,EOPS and CARE participant,,11
,EOPS participant,,165
