,,,Term
,,,Annual 2011-2012
College Name,,EOPS Status,Student Count
Alameda Total,,,"11,203"
,EOPS and CARE participant,,23
,EOPS participant,,628
,Not an EOPS/CARE participant,,"10,552"
Allan Hancock Total,,,"21,053"
,EOPS and CARE participant,,187
,EOPS participant,,846
,Not an EOPS/CARE participant,,"20,020"
American River Total,,,"47,024"
,EOPS and CARE participant,,109
,EOPS participant,,897
,Not an EOPS/CARE participant,,"46,018"
Antelope Valley Total,,,"18,458"
,EOPS and CARE participant,,103
,EOPS participant,,528
,Not an EOPS/CARE participant,,"17,827"
Bakersfield Total,,,"26,176"
,EOPS and CARE participant,,154
,EOPS participant,,635
,Not an EOPS/CARE participant,,"25,387"
Barstow Total,,,"5,101"
,EOPS and CARE participant,,56
,EOPS participant,,281
,Not an EOPS/CARE participant,,"4,764"
Berkeley City Total,,,"11,521"
,EOPS and CARE participant,,30
,EOPS participant,,352
,Not an EOPS/CARE participant,,"11,139"
Butte Total,,,"18,373"
,EOPS and CARE participant,,101
,EOPS participant,,"1,256"
,Not an EOPS/CARE participant,,"17,016"
Cabrillo Total,,,"19,103"
,EOPS and CARE participant,,45
,EOPS participant,,192
,Not an EOPS/CARE participant,,"18,866"
Canada Total,,,"10,600"
,EOPS and CARE participant,,30
,EOPS participant,,264
,Not an EOPS/CARE participant,,"10,306"
Canyons Total,,,"27,637"
,EOPS and CARE participant,,36
,EOPS participant,,490
,Not an EOPS/CARE participant,,"27,111"
Cerritos Total,,,"31,092"
,EOPS and CARE participant,,52
,EOPS participant,,705
,Not an EOPS/CARE participant,,"30,335"
Cerro Coso Total,,,"8,841"
,EOPS and CARE participant,,69
,EOPS participant,,305
,Not an EOPS/CARE participant,,"8,467"
Chabot Hayward Total,,,"18,779"
,EOPS and CARE participant,,45
,EOPS participant,,224
,Not an EOPS/CARE participant,,"18,510"
Chaffey Total,,,"24,190"
,EOPS and CARE participant,,54
,EOPS participant,,839
,Not an EOPS/CARE participant,,"23,297"
Citrus Total,,,"16,911"
,EOPS and CARE participant,,44
,EOPS participant,,533
,Not an EOPS/CARE participant,,"16,334"
Coalinga College Total,,,"4,547"
,EOPS and CARE participant,,21
,EOPS participant,,124
,Not an EOPS/CARE participant,,"4,402"
Coastline Total,,,"15,898"
,EOPS and CARE participant,,5
,EOPS participant,,170
,Not an EOPS/CARE participant,,"15,723"
Columbia Total,,,"4,606"
,EOPS and CARE participant,,12
,EOPS participant,,190
,Not an EOPS/CARE participant,,"4,404"
Compton Total,,,"14,730"
,EOPS and CARE participant,,199
,EOPS participant,,855
,Not an EOPS/CARE participant,,"13,676"
Contra Costa Total,,,"12,500"
,EOPS and CARE participant,,55
,EOPS participant,,498
,Not an EOPS/CARE participant,,"11,947"
Copper Mountain College Total,,,"3,105"
,EOPS and CARE participant,,28
,EOPS participant,,107
,Not an EOPS/CARE participant,,"2,970"
Cosumnes River Total,,,"20,596"
,EOPS and CARE participant,,67
,EOPS participant,,583
,Not an EOPS/CARE participant,,"19,946"
Crafton Hills Total,,,"7,448"
,EOPS and CARE participant,,39
,EOPS participant,,354
,Not an EOPS/CARE participant,,"7,055"
Cuesta Total,,,"15,486"
,EOPS and CARE participant,,56
,EOPS participant,,211
,Not an EOPS/CARE participant,,"15,219"
Cuyamaca Total,,,"13,148"
,EOPS and CARE participant,,75
,EOPS participant,,528
,Not an EOPS/CARE participant,,"12,545"
Cypress Total,,,"19,798"
,EOPS and CARE participant,,92
,EOPS participant,,423
,Not an EOPS/CARE participant,,"19,283"
Deanza Total,,,"37,695"
,EOPS and CARE participant,,48
,EOPS participant,,631
,Not an EOPS/CARE participant,,"37,016"
Desert Total,,,"13,213"
,EOPS and CARE participant,,52
,EOPS participant,,242
,Not an EOPS/CARE participant,,"12,919"
Diablo Valley Total,,,"29,692"
,EOPS and CARE participant,,70
,EOPS participant,,655
,Not an EOPS/CARE participant,,"28,967"
East LA Total,,,"58,763"
,EOPS and CARE participant,,87
,EOPS participant,,"1,465"
,Not an EOPS/CARE participant,,"57,211"
El Camino Total,,,"33,353"
,EOPS and CARE participant,,132
,EOPS participant,,821
,Not an EOPS/CARE participant,,"32,400"
Evergreen Valley Total,,,"16,831"
,EOPS and CARE participant,,69
,EOPS participant,,570
,Not an EOPS/CARE participant,,"16,192"
Feather River Total,,,"3,047"
,EOPS and CARE participant,,28
,EOPS participant,,147
,Not an EOPS/CARE participant,,"2,872"
Folsom Lake Total,,,"12,144"
,EOPS and CARE participant,,36
,EOPS participant,,163
,Not an EOPS/CARE participant,,"11,945"
Foothill Total,,,"27,357"
,EOPS and CARE participant,,38
,EOPS participant,,456
,Not an EOPS/CARE participant,,"26,863"
Fresno City Total,,,"29,491"
,EOPS and CARE participant,,144
,EOPS participant,,"1,260"
,Not an EOPS/CARE participant,,"28,087"
Fullerton Total,,,"26,460"
,EOPS and CARE participant,,106
,EOPS participant,,"1,148"
,Not an EOPS/CARE participant,,"25,206"
Gavilan Total,,,"12,250"
,EOPS and CARE participant,,106
