,,,Term
,,,Annual 2020-2021
College Name,,EOPS Status,Student Count
Alameda Total,,,"10,180"
,EOPS and CARE participant,,2
,EOPS participant,,373
,Not an EOPS/CARE participant,,"9,805"
Allan Hancock Total,,,"15,870"
,EOPS and CARE participant,,73
,EOPS participant,,"1,016"
,Not an EOPS/CARE participant,,"14,781"
American River Total,,,"35,303"
,EOPS and CARE participant,,59
,EOPS participant,,"1,086"
,Not an EOPS/CARE participant,,"34,158"
Antelope Valley Total,,,"15,598"
,EOPS and CARE participant,,74
,EOPS participant,,528
,Not an EOPS/CARE participant,,"14,996"
Bakersfield Total,,,"34,962"
,EOPS and CARE participant,,86
,EOPS participant,,"1,820"
,Not an EOPS/CARE participant,,"33,056"
Barstow Total,,,"3,138"
,EOPS and CARE participant,,32
,EOPS participant,,326
,Not an EOPS/CARE participant,,"2,780"
Berkeley City Total,,,"11,290"
,EOPS and CARE participant,,10
,EOPS participant,,166
,Not an EOPS/CARE participant,,"11,114"
Butte Total,,,"11,776"
,EOPS and CARE participant,,29
,EOPS participant,,577
,Not an EOPS/CARE participant,,"11,170"
Cabrillo Total,,,"14,141"
,EOPS and CARE participant,,26
,EOPS participant,,318
,Not an EOPS/CARE participant,,"13,797"
Calbright College Total,,,488
,Not an EOPS/CARE participant,,488
Canada Total,,,"9,284"
,EOPS and CARE participant,,5
,EOPS participant,,248
,Not an EOPS/CARE participant,,"9,031"
Canyons Total,,,"32,517"
,EOPS and CARE participant,,13
,EOPS participant,,374
,Not an EOPS/CARE participant,,"32,130"
Cerritos Total,,,"27,157"
,EOPS and CARE participant,,53
,EOPS participant,,911
,Not an EOPS/CARE participant,,"26,193"
Cerro Coso Total,,,"7,221"
,EOPS and CARE participant,,15
,EOPS participant,,234
,Not an EOPS/CARE participant,,"6,972"
Chabot Hayward Total,,,"16,428"
,EOPS and CARE participant,,14
,EOPS participant,,441
,Not an EOPS/CARE participant,,"15,973"
Chaffey Total,,,"23,883"
,EOPS and CARE participant,,40
,EOPS participant,,904
,Not an EOPS/CARE participant,,"22,939"
Citrus Total,,,"17,448"
,EOPS and CARE participant,,17
,EOPS participant,,525
,Not an EOPS/CARE participant,,"16,906"
Clovis Total,,,"13,521"
,EOPS and CARE participant,,46
,EOPS participant,,470
,Not an EOPS/CARE participant,,"13,005"
Coalinga College Total,,,"5,726"
,EOPS and CARE participant,,9
,EOPS participant,,234
,Not an EOPS/CARE participant,,"5,483"
Coastline Total,,,"15,115"
