,,,Term
,,,Annual 2015-2016
College Name,,EOPS Status,Student Count
Alameda Total,,,"10,291"
,EOPS and CARE participant,,39
,EOPS participant,,608
,Not an EOPS/CARE participant,,"9,644"
Allan Hancock Total,,,"20,925"
,EOPS and CARE participant,,99
,EOPS participant,,713
,Not an EOPS/CARE participant,,"20,113"
American River Total,,,"45,810"
,EOPS and CARE participant,,108
,EOPS participant,,"1,094"
,Not an EOPS/CARE participant,,"44,608"
Antelope Valley Total,,,"19,070"
,EOPS and CARE participant,,110
,EOPS participant,,709
,Not an EOPS/CARE participant,,"18,251"
Bakersfield Total,,,"27,737"
,EOPS and CARE participant,,93
,EOPS participant,,997
,Not an EOPS/CARE participant,,"26,647"
Barstow Total,,,"4,703"
,EOPS and CARE participant,,70
,EOPS participant,,369
,Not an EOPS/CARE participant,,"4,264"
Berkeley City Total,,,"11,762"
,EOPS and CARE participant,,14
,EOPS participant,,241
,Not an EOPS/CARE participant,,"11,507"
Butte Total,,,"16,326"
,EOPS and CARE participant,,80
,EOPS participant,,"1,188"
,Not an EOPS/CARE participant,,"15,058"
Cabrillo Total,,,"17,696"
,EOPS and CARE participant,,56
,EOPS participant,,353
,Not an EOPS/CARE participant,,"17,287"
Canada Total,,,"10,105"
,EOPS and CARE participant,,24
,EOPS participant,,401
,Not an EOPS/CARE participant,,"9,680"
Canyons Total,,,"30,813"
,EOPS and CARE participant,,45
,EOPS participant,,524
,Not an EOPS/CARE participant,,"30,244"
Cerritos Total,,,"31,072"
,EOPS and CARE participant,,50
,EOPS participant,,"1,056"
,Not an EOPS/CARE participant,,"29,966"
Cerro Coso Total,,,"6,910"
,EOPS and CARE participant,,29
,EOPS participant,,240
,Not an EOPS/CARE participant,,"6,641"
Chabot Hayward Total,,,"20,309"
,EOPS and CARE participant,,39
,EOPS participant,,385
,Not an EOPS/CARE participant,,"19,885"
Chaffey Total,,,"28,469"
,EOPS and CARE participant,,77
,EOPS participant,,929
,Not an EOPS/CARE participant,,"27,463"
Citrus Total,,,"20,115"
,EOPS and CARE participant,,36
,EOPS participant,,701
,Not an EOPS/CARE participant,,"19,378"
Clovis Total,,,"8,728"
,EOPS and CARE participant,,9
,EOPS participant,,70
,Not an EOPS/CARE participant,,"8,649"
Coalinga College Total,,,"4,352"
,EOPS and CARE participant,,16
,EOPS participant,,164
,Not an EOPS/CARE participant,,"4,172"
Coastline Total,,,"17,708"
,EOPS and CARE participant,,8
,EOPS participant,,207
,Not an EOPS/CARE participant,,"17,493"
Columbia Total,,,"4,051"
,EOPS and CARE participant,,10
,EOPS participant,,278
,Not an EOPS/CARE participant,,"3,763"
Compton Total,,,"11,701"
,EOPS and CARE participant,,172
,EOPS participant,,926
,Not an EOPS/CARE participant,,"10,603"
Contra Costa Total,,,"10,066"
,EOPS and CARE participant,,58
,EOPS participant,,729
,Not an EOPS/CARE participant,,"9,279"
Copper Mountain College Total,,,"2,777"
,EOPS and CARE participant,,33
,EOPS participant,,156
,Not an EOPS/CARE participant,,"2,588"
Cosumnes River Total,,,"19,979"
,EOPS and CARE participant,,58
,EOPS participant,,605
,Not an EOPS/CARE participant,,"19,316"
Crafton Hills Total,,,"8,100"
,EOPS and CARE participant,,46
,EOPS participant,,444
,Not an EOPS/CARE participant,,"7,610"
Cuesta Total,,,"15,645"
,EOPS and CARE participant,,47
,EOPS participant,,263
,Not an EOPS/CARE participant,,"15,335"
Cuyamaca Total,,,"13,421"
,EOPS and CARE participant,,56
,EOPS participant,,911
,Not an EOPS/CARE participant,,"12,454"
Cypress Total,,,"21,696"
,EOPS and CARE participant,,69
,EOPS participant,,655
,Not an EOPS/CARE participant,,"20,972"
Deanza Total,,,"32,200"
,EOPS and CARE participant,,14
,EOPS participant,,951
,Not an EOPS/CARE participant,,"31,235"
Desert Total,,,"15,716"
,EOPS and CARE participant,,58
,EOPS participant,,396
,Not an EOPS/CARE participant,,"15,262"
Diablo Valley Total,,,"29,021"
,EOPS and CARE participant,,40
,EOPS participant,,733
,Not an EOPS/CARE participant,,"28,248"
East LA Total,,,"57,649"
,EOPS and CARE participant,,86
,EOPS participant,,"1,535"
,Not an EOPS/CARE participant,,"56,028"
El Camino Total,,,"32,471"
,EOPS and CARE participant,,97
,EOPS participant,,"1,173"
,Not an EOPS/CARE participant,,"31,201"
Evergreen Valley Total,,,"13,710"
,EOPS and CARE participant,,36
,EOPS participant,,668
,Not an EOPS/CARE participant,,"13,006"
Feather River Total,,,"3,308"
,EOPS and CARE participant,,9
,EOPS participant,,119
,Not an EOPS/CARE participant,,"3,180"
Folsom Lake Total,,,"12,062"
,EOPS and CARE participant,,39
,EOPS participant,,230
,Not an EOPS/CARE participant,,"11,793"
Foothill Total,,,"29,770"
,EOPS and CARE participant,,13
,EOPS participant,,432
,Not an EOPS/CARE participant,,"29,325"
Fresno City Total,,,"33,831"
,EOPS and CARE participant,,146
,EOPS participant,,"1,665"
,Not an EOPS/CARE participant,,"32,020"
Fullerton Total,,,"33,315"
,EOPS and CARE participant,,91
,EOPS participant,,"1,507"
,Not an EOPS/CARE participant,,"31,717"
Gavilan Total,,,"11,752"
,EOPS and CARE participant,,57
,EOPS participant,,402
,Not an EOPS/CARE participant,,"11,293"
Glendale Total,,,"28,192"
,EOPS and CARE participant,,29
,EOPS participant,,"1,949"
,Not an EOPS/CARE participant,,"26,214"
Golden West Total,,,"17,221"
,EOPS and CARE participant,,31
,EOPS participant,,852
,Not an EOPS/CARE participant,,"16,338"
Grossmont Total,,,"25,025"
,EOPS and CARE participant,,121
,EOPS participant,,"1,028"
,Not an EOPS/CARE participant,,"23,876"
Hartnell Total,,,"17,176"
,EOPS and CARE participant,,55
,EOPS participant,,605
,Not an EOPS/CARE participant,,"16,516"
Imperial Total,,,"10,457"
,EOPS and CARE participant,,184
,EOPS participant,,"1,186"
,Not an EOPS/CARE participant,,"9,087"
Irvine Total,,,"20,865"
,EOPS and CARE participant,,36
,EOPS participant,,692
,Not an EOPS/CARE participant,,"20,137"
LA City Total,,,"32,437"
,EOPS and CARE participant,,67
,EOPS participant,,"2,647"
,Not an EOPS/CARE participant,,"29,723"
LA Harbor Total,,,"13,433"
,EOPS and CARE participant,,37
,EOPS participant,,602
,Not an EOPS/CARE participant,,"12,794"
LA ITV Total,,,"1,111"
,Not an EOPS/CARE participant,,"1,111"
LA Mission Total,,,"15,445"
,EOPS and CARE participant,,37
,EOPS participant,,868
,Not an EOPS/CARE participant,,"14,540"
LA Pierce Total,,,"31,222"
,EOPS and CARE participant,,37
,EOPS participant,,"1,181"
,Not an EOPS/CARE participant,,"30,004"
LA Swest Total,,,"13,040"
,EOPS and CARE participant,,46
,EOPS participant,,583
,Not an EOPS/CARE participant,,"12,411"
LA Trade Total,,,"25,288"
,EOPS and CARE participant,,197
,EOPS participant,,"2,390"
,Not an EOPS/CARE participant,,"22,701"
LA Valley Total,,,"28,084"
,EOPS and CARE participant,,50
,EOPS participant,,"1,331"
,Not an EOPS/CARE participant,,"26,703"
Lake Tahoe Total,,,"6,022"
,EOPS and CARE participant,,14
,EOPS participant,,147
,Not an EOPS/CARE participant,,"5,861"
Laney Total,,,"19,195"
,EOPS and CARE participant,,119
,EOPS participant,,601
,Not an EOPS/CARE participant,,"18,475"
Las Positas Total,,,"12,459"
,EOPS and CARE participant,,10
,EOPS participant,,243
,Not an EOPS/CARE participant,,"12,206"
Lassen Total,,,"4,386"
,EOPS and CARE participant,,12
,EOPS participant,,196
,Not an EOPS/CARE participant,,"4,178"
Lemoore College Total,,,"5,947"
,EOPS and CARE participant,,21
,EOPS participant,,190
,Not an EOPS/CARE participant,,"5,736"
Long Beach Total,,,"34,018"
,EOPS and CARE participant,,89
,EOPS participant,,"1,516"
,Not an EOPS/CARE participant,,"32,413"
Los Medanos Total,,,"12,810"
,EOPS and CARE participant,,75
,EOPS participant,,567
,Not an EOPS/CARE participant,,"12,168"
Marin Total,,,"9,335"
,EOPS and CARE participant,,21
,EOPS participant,,308
,Not an EOPS/CARE participant,,"9,006"
Mendocino Total,,,"6,772"
,EOPS and CARE participant,,28
,EOPS participant,,427
,Not an EOPS/CARE participant,,"6,317"
Merced Total,,,"14,858"
,EOPS and CARE participant,,115
,EOPS participant,,"1,089"
,Not an EOPS/CARE participant,,"13,654"
Merritt Total,,,"10,767"
,EOPS and CARE participant,,75
,EOPS participant,,520
,Not an EOPS/CARE participant,,"10,172"
MiraCosta Total,,,"24,117"
,EOPS and CARE participant,,57
,EOPS participant,,636
,Not an EOPS/CARE participant,,"23,424"
Mission Total,,,"14,792"
,EOPS and CARE participant,,15
,EOPS participant,,380
,Not an EOPS/CARE participant,,"14,397"
Modesto Total,,,"24,297"
,EOPS and CARE participant,,69
,EOPS participant,,"1,240"
,Not an EOPS/CARE participant,,"22,988"
Monterey Total,,,"13,850"
,EOPS and CARE participant,,54
,EOPS participant,,613
,Not an EOPS/CARE participant,,"13,183"
Moorpark Total,,,"19,230"
,EOPS and CARE participant,,21
,EOPS participant,,463
,Not an EOPS/CARE participant,,"18,746"
Moreno Valley Total,,,"13,552"
,EOPS and CARE participant,,38
,EOPS participant,,464
,Not an EOPS/CARE participant,,"13,050"
Mt San Antonio Total,,,"59,897"
,EOPS and CARE participant,,82
,EOPS participant,,"1,035"
,Not an EOPS/CARE participant,,"58,780"
Mt. San Jacinto Total,,,"23,018"
,EOPS and CARE participant,,80
,EOPS participant,,499
,Not an EOPS/CARE participant,,"22,439"
Napa Total,,,"9,409"
,EOPS and CARE participant,,21
,EOPS participant,,250
,Not an EOPS/CARE participant,,"9,138"
Norco Total,,,"13,406"
,EOPS and CARE participant,,24
,EOPS participant,,321
,Not an EOPS/CARE participant,,"13,061"
North Orange Continuing Education Total,,,"24,349"
,Not an EOPS/CARE participant,,"24,349"
Ohlone Total,,,"16,894"
,EOPS and CARE participant,,22
,EOPS participant,,211
,Not an EOPS/CARE participant,,"16,661"
Orange Coast Total,,,"28,938"
,EOPS and CARE participant,,72
,EOPS participant,,"1,473"
,Not an EOPS/CARE participant,,"27,393"
Oxnard Total,,,"10,500"
,EOPS and CARE participant,,100
,EOPS participant,,877
,Not an EOPS/CARE participant,,"9,523"
Palo Verde Total,,,"6,689"
,EOPS and CARE participant,,18
,EOPS participant,,445
,Not an EOPS/CARE participant,,"6,226"
Palomar Total,,,"36,197"
,EOPS and CARE participant,,41
,EOPS participant,,916
,Not an EOPS/CARE participant,,"35,240"
Pasadena Total,,,"41,118"
,EOPS and CARE participant,,29
,EOPS participant,,856
,Not an EOPS/CARE participant,,"40,233"
Porterville Total,,,"5,217"
,EOPS and CARE participant,,57
,EOPS participant,,721
,Not an EOPS/CARE participant,,"4,439"
Redwoods Total,,,"7,191"
,EOPS and CARE participant,,42
,EOPS participant,,815
,Not an EOPS/CARE participant,,"6,334"
Reedley College Total,,,"16,063"
,EOPS and CARE participant,,45
,EOPS participant,,876
,Not an EOPS/CARE participant,,"15,142"
Rio Hondo Total,,,"28,208"
,EOPS and CARE participant,,112
,EOPS participant,,"1,195"
,Not an EOPS/CARE participant,,"26,901"
Riverside Total,,,"27,773"
,EOPS and CARE participant,,48
,EOPS participant,,597
,Not an EOPS/CARE participant,,"27,128"
Sacramento City Total,,,"32,816"
,EOPS and CARE participant,,73
,EOPS participant,,"1,092"
,Not an EOPS/CARE participant,,"31,651"
Saddleback Total,,,"37,550"
,EOPS and CARE participant,,23
,EOPS participant,,421
,Not an EOPS/CARE participant,,"37,106"
San Bernardino Total,,,"17,462"
,EOPS and CARE participant,,47
,EOPS participant,,822
,Not an EOPS/CARE participant,,"16,593"
San Diego City Total,,,"24,858"
,EOPS and CARE participant,,55
,EOPS participant,,"1,284"
,Not an EOPS/CARE participant,,"23,519"
San Diego College of Continuing Ed Total,,,"35,070"
,Not an EOPS/CARE participant,,"35,070"
San Diego Mesa Total,,,"34,989"
,EOPS and CARE participant,,21
,EOPS participant,,668
,Not an EOPS/CARE participant,,"34,300"
San Diego Miramar Total,,,"20,872"
,EOPS and CARE participant,,20
,EOPS participant,,521
,Not an EOPS/CARE participant,,"20,331"
San Francisco Total,,,"36,132"
,EOPS and CARE participant,,85
,EOPS participant,,"1,165"
,Not an EOPS/CARE participant,,"34,882"
San Francisco Ctrs Total,,,"31,173"
,Not an EOPS/CARE participant,,"31,173"
San Joaquin Delta Total,,,"24,142"
,EOPS and CARE participant,,106
,EOPS participant,,942
,Not an EOPS/CARE participant,,"23,094"
San Jose City Total,,,"12,658"
,EOPS and CARE participant,,39
,EOPS participant,,805
,Not an EOPS/CARE participant,,"11,814"
San Mateo Total,,,"13,763"
,EOPS and CARE participant,,10
,EOPS participant,,387
,Not an EOPS/CARE participant,,"13,366"
Santa Ana Total,,,"62,286"
,EOPS and CARE participant,,34
,EOPS participant,,"1,348"
,Not an EOPS/CARE participant,,"60,904"
Santa Barbara Total,,,"26,668"
,EOPS and CARE participant,,34
,EOPS participant,,"1,091"
,Not an EOPS/CARE participant,,"25,543"
Santa Monica Total,,,"45,552"
,EOPS and CARE participant,,27
,EOPS participant,,"1,066"
,Not an EOPS/CARE participant,,"44,459"
Santa Rosa Total,,,"38,794"
,EOPS and CARE participant,,31
,EOPS participant,,656
,Not an EOPS/CARE participant,,"38,107"
Santiago Canyon Total,,,"26,781"
,EOPS and CARE participant,,18
,EOPS participant,,364
,Not an EOPS/CARE participant,,"26,399"
Sequoias Total,,,"15,621"
,EOPS and CARE participant,,119
,EOPS participant,,"1,066"
,Not an EOPS/CARE participant,,"14,436"
Shasta Total,,,"13,445"
,EOPS and CARE participant,,33
,EOPS participant,,792
,Not an EOPS/CARE participant,,"12,620"
Sierra Total,,,"25,095"
,EOPS and CARE participant,,72
,EOPS participant,,666
,Not an EOPS/CARE participant,,"24,357"
Siskiyous Total,,,"5,566"
,EOPS and CARE participant,,9
,EOPS participant,,269
,Not an EOPS/CARE participant,,"5,288"
Skyline Total,,,"15,689"
,EOPS and CARE participant,,24
,EOPS participant,,398
,Not an EOPS/CARE participant,,"15,267"
Solano Total,,,"14,154"
,EOPS and CARE participant,,27
,EOPS participant,,335
,Not an EOPS/CARE participant,,"13,792"
Southwestern Total,,,"26,675"
,EOPS and CARE participant,,83
,EOPS participant,,"2,000"
,Not an EOPS/CARE participant,,"24,592"
Taft Total,,,"8,857"
,EOPS and CARE participant,,26
,EOPS participant,,252
,Not an EOPS/CARE participant,,"8,579"
Ventura Total,,,"19,079"
,EOPS and CARE participant,,29
,EOPS participant,,741
,Not an EOPS/CARE participant,,"18,309"
Victor Valley Total,,,"16,340"
,EOPS and CARE participant,,127
,EOPS participant,,"1,151"
,Not an EOPS/CARE participant,,"15,062"
West LA Total,,,"16,565"
,EOPS and CARE participant,,33
,EOPS participant,,576
,Not an EOPS/CARE participant,,"15,956"
West Valley Total,,,"16,104"
,EOPS and CARE participant,,16
,EOPS participant,,276
,Not an EOPS/CARE participant,,"15,812"
Woodland Total,,,"4,674"
,EOPS and CARE participant,,26
,EOPS participant,,200
,Not an EOPS/CARE participant,,"4,448"
Yuba Total,,,"10,261"
,EOPS and CARE participant,,67
,EOPS participant,,848
,Not an EOPS/CARE participant,,"9,346"
